metabolite_name	Retention Index	PubChem CID	KEGG ID	mass spectrum
D-Glucosamine	5.75	439213	C00329	180.0880
D-Glucose_1	7.47	5793	C00031	181.0721
D-Glucose_2	7.09	5793	C00031	181.0721
Diacetyl_1	2.24	650	C00741	87.0447
Diacetyl_2	0.79	650	C00741	87.0447
Diacetyl_3	1.88	650	C00741	87.0448
Diethanolamine	0.96	8113	C06772	106.0869
Diethyl (2R,3R)-2-methyl-3-hydroxysuccinate_1	8.09	440395	C04586	205.1069
Diethyl (2R,3R)-2-methyl-3-hydroxysuccinate_2	7.55	440395	C04586	205.1071
Diethyl 2-methyl-3-oxosuccinate	7.35	97750	C04067	203.0915
Diethyl sulfate	1.24	6163	C14706	155.0372
Diethylene glycol_1	8.91	8117	C14689	107.0707
Diethylene glycol_2	13.74	8117	C14689	107.0708
Diethylthiophosphoric acid	1.30	655	C06607	171.0245
Digallate	9.49	54711004	C01572	323.0369
Dihydro-4,4-dimethyl-2,3-furandione	0.89	39	C01125	129.0549
Dihydroclavaminic acid_1	6.29	441125	C06659	201.0871
Dihydroclavaminic acid_2	3.23	441125	C06659	201.0871
Diisopropyl phosphate	7.59	21884945	C03113	183.0777
Diisopropyl phthalate_1	12.27	11799	C14468	251.1278
Diisopropyl phthalate_2	10.11	11799	C14468	251.1258
Dikegulac	7.20	65420	C18825	275.1101
Diltiazem	9.34	39186	C06958	415.1646
Dimethachlor_1	10.82	39722	C18718	256.1081
Dimethachlor_2	9.19	39722	C18718	256.1096
Dimethylcarbamoyl chloride	1.82	6598	C19175	108.0211
Dimethylenetriurea	11.21	441000	C06385	205.1044
Dinotefuran	1.32	197701	C18509	203.1139
Diphenhydramine	11.18	3100	C06960	256.1696
Distigmine	12.21	27522	C16823	417.2484
D-Lysopine_1	6.61	193187	C04020	219.1340
D-Lysopine_2	2.75	193187	C04020	219.1340
D-Lysopine_3	2.29	193187	C04020	219.1340
D-Octopine_1	16.34	108172	C04137	247.1398
D-Octopine_2	2.99	108172	C04137	247.1401
Dodecanamide	12.63	14256	C13831	200.2010
Dodemorph	16.19	61899	C18786	282.2792
D-Ribose	1.29	10975657	C00121	151.0603
D-SORBITOL	0.78	5780		205.0681
dUMP	1.29	65063	C00365	155.0284
D-Xylonate	6.56	5460056	C00502	167.0564
Ectoine	1.10	126041	C06231	143.0817
EDTA	0.92	6049	C00284	293.0979
Emedastine	11.81	3219	C07785	303.2167
epsilon-Caprolactam_1	7.18	7768	C06593	114.0917
epsilon-Caprolactam_2	8.22	7768	C06593	114.0917
Estradiol-17beta 3-sulfate	9.32	66416	C08357	177.0730
Ethosuximide_1	2.27	3291	C07505	142.0865
Ethosuximide_2	8.22	3291	C07505	142.0864
Ethosuximide_3	1.36	3291	C07505	142.0863
Ethosuximide_4	6.06	3291	C07505	142.0864
Ethosuximide_5	7.23	3291	C07505	142.0864
Ethyl cinnamate	9.42	637758	C06359	177.0910
Ethyl tiglate	8.11	5281163	C08487	129.0913
Etidronic acid	2.24	3305	C07736	206.9798
Etodolac	13.62	3308	C06991	288.1603
Etomidate	8.84	36339	C07522	245.1286
Euxanthone	1.32	5281631	C10061	115.0289
Fagomine_1	4.30	72259	C10144	148.0969
Fagomine_2	1.30	72259	C10144	148.0969
Fagomine_3	1.93	72259	C10144	148.0969
Fagomine_4	3.78	72259	C10144	148.0969
Fasoracetam	7.63	198695	C13311	197.1285
Fenoldopam	1.93	3341	C07693	153.5468
Fenpropathrin	16.07	47326	C18411	350.1780
Feruloylputrescine	8.17	5281796	C10497	265.1547
Fexofenadine_1	12.96	3348	C06999	502.2934
Fexofenadine_2	12.56	3348	C06999	502.2935
Fexofenadine_3	11.86	3348	C06999	502.2935
Fexofenadine_4	11.53	3348	C06999	502.2934
Flumethasone	11.46	16490	C14479	411.1993
Fluorene	12.00	6853	C07715	167.0857
Fuberidazole	9.12	19756	C18737	185.0711
Fumarate	1.38	5460307	C00122	117.0175
Furathiocarb	15.87	47759	C18650	383.1672
Furfural diethyl acetal_1	9.34	83553	C14280	171.1017
Furfural diethyl acetal_2	8.95	83553	C14280	171.1018
Furfuryl alcohol	0.84	7361	C20441	99.0447
Furmecyclox	9.20	43359	C18912	252.1594
gamma-Coniceine	7.26	442632	C10138	126.1280
Glutarate_1	0.80	743	C00489	133.0497
Glutarate_2	1.28	743	C00489	133.0497
Glutarate_3	3.01	743	C00489	133.0497
Glutathione	14.04	124886	C00051	308.0889
GLYCEROL	0.84	753		115.0372
Glycerol	0.84	753	C00116	93.0553
Glycerone_1	1.30	670	C00184	91.0396
Glycerone_2	0.80	670	C00184	91.0396
Glycidyl oleate	16.34	5354568	C19426	339.2895
GLYCINE	0.76	750		76.0401
Glycine	1.29	750	C00037	76.0401
Glycocholate	10.55	10140	C01921	466.3167
Glycodeoxycholate_1	11.46	3035026	C05464	450.3217
Glycodeoxycholate_2	10.72	3035026	C05464	450.3223
Glycyl-leucine_1	4.46	92843	C02155	189.1233
Glycyl-leucine_2	6.14	92843	C02155	189.1233
Glycyl-leucine_3	2.48	92843	C02155	189.1233
Glycyl-leucine_4	5.46	92843	C02155	189.1233
Glycyl-leucine_5	6.81	92843	C02155	189.1233
Glycyrrhetinate	13.81	10114	C02283	471.3483
Guanfacine	3.84	3519	C07037	246.0192
GUANIDINOACETATE	0.84	763		118.0617
GUANINE	1.63	764		152.0569
GW 1929	12.13	6518171	C15626	248.6145
Gymnodimine	13.35	11649137	C20025	508.3406
Hercynine	10.56	5459798	C05575	199.1329
Hetacillin	9.41	443387	C11729	390.1481
Hexylamine	6.70	8102	C08306	102.1281
Hippurate	8.06	464	C01586	180.0656
Histamine	1.73	774	C00388	112.0874
HISTAMINE	0.76	774		112.0872
Homogentisate	10.38	780	C00544	169.0497
Homostachydrine_1	1.96	441447	C08283	158.1177
Homostachydrine_2	7.43	441447	C08283	158.1177
Homostachydrine_3	8.82	441447	C08283	158.1176
Homostachydrine_4	7.87	441447	C08283	158.1177
Homostachydrine_5	6.43	441447	C08283	158.1176
Hydrocortisone succinate	11.85	16623	C12888	463.2330
Hypaphorine	8.11	442106	C09213	247.1441
HYPOXANTHINE	2.15	790		137.0459
Hypoxanthine	6.25	790	C00262	137.0460
Imidacloprid	0.98	86418	C11110	256.0578
IMP	1.11	8582	C00130	175.0316
Indan-1-ol	9.90	22819	C01710	135.0806
Indole_1	7.75	798	C00463	118.0656
Indole_2	10.49	798	C00463	118.0655
Indole_3	8.06	798	C00463	118.0655
Indole_4	6.43	798	C00463	118.0656
Indole-3-acetaldehyde_1	7.76	800	C00637	160.0758
Indole-3-acetaldehyde_2	10.66	800	C00637	160.0758
Indole-3-acetaldehyde_3	8.96	800	C00637	160.0758
Indole-3-acetate_1	10.00	802	C00954	176.0707
Indole-3-acetate_2	8.38	802	C00954	176.0707
Indole-5,6-quinone	0.86	440728	C05579	148.0390
Indolelactate_1	9.37	92904	C02043	206.0813
Indolelactate_2	8.96	92904	C02043	206.0812
Indospicine_1	6.26	108010	C08288	174.1238
Indospicine_2	3.50	108010	C08288	174.1239
Inosine	6.25	6021	C00294	269.0880
Isobutyronitrile_1	0.92	6559	C02420	70.0660
Isobutyronitrile_2	1.74	6559	C02420	70.0660
Isobutyronitrile_3	2.48	6559	C02420	70.0660
Isoquinoline_1	7.75	8405	C06323	130.0653
Isoquinoline_2	10.69	8405	C06323	130.0653
Isoquinoline_3	10.00	8405	C06323	130.0654
Isoquinoline_4	7.31	8405	C06323	130.0654
Isoquinoline_5	8.87	8405	C06323	130.0654
Isoquinoline_6	9.32	8405	C06323	130.0653
Isoquinoline_7	8.24	8405	C06323	130.0653
Isovalerylcarnitine	8.31	6426851	C20826	246.1699
Istamycin C1	7.94	46174030	C17996	432.2805
Janthitrem C_1	13.42	156106	C20601	570.3557
Janthitrem C_2	12.91	156106	C20601	570.3558
L-2,3-Dihydrodipicolinate	6.73	5460228	C03340	170.0449
L-2,4-Diaminobutanoate	1.02	134490	C03283	119.0821
L-2-Aminoadipate_1	1.56	92136	C00956	162.0761
L-2-Aminoadipate_2	1.87	92136	C00956	162.0761
L-Alanine	1.81	5950	C00041	90.0557
L-Albizziine_1	0.77	92891	C08264	148.0730
L-Albizziine_2	7.75	92891	C08264	148.0727
L-ALLOTHREONINE	0.79	99289		142.0476
L-ARGININE	0.76	6322		175.1191
L-ASPARAGINE	0.75	6267		133.0610
L-Asparagine	2.60	6267	C00152	133.0610
L-Aspartate	0.97	5960	C00049	134.0450
L-Aspartate 4-semialdehyde_1	1.23	439235	C00441	118.0506
L-Aspartate 4-semialdehyde_2	1.82	439235	C00441	118.0503
L-Aspartate 4-semialdehyde_3	0.88	439235	C00441	118.0508
L-CARNITINE	1.02	10917		162.1125
L-Cysteate	1.31	72886	C00506	170.0125
L-CYSTEIC ACID	0.78	72886		170.0119
LEUCINE	2.71	857		132.1021
Levetiracetam_1	6.80	5284583	C07841	171.1128
Levetiracetam_2	6.39	5284583	C07841	171.1128
Levetiracetam_3	7.14	5284583	C07841	171.1128
Levetiracetam_4	3.78	5284583	C07841	171.1129
L-Glutamate	2.74	33032	C00025	148.0606
L-GLUTAMINE	0.77	5961		147.0765
L-HISTIDINE	0.76	6274		156.0769
L-Histidine	1.28	6274	C00135	156.0769
L-Histidinol_1	1.98	165271	C00860	142.0976
L-Histidinol_2	3.68	165271	C00860	142.0976
Lichenin	0.79	439241	C00478	163.0602
Linamarin_1	9.26	11128	C01594	248.1109
Linamarin_2	8.30	11128	C01594	248.1110
Linoleate_1	16.37	5280450	C01595	281.2476
Linoleate_2	13.07	5280450	C01595	281.2476
Linoleate_3	13.79	5280450	C01595	281.2476
L-ISOLEUCINE	2.35	6306		132.1022
L-Kynurenine	6.64	161166	C00328	209.0922
L-Leucine_1	1.00	6106	C00123	132.1020
L-Leucine_2	1.82	6106	C00123	132.1022
L-Lysine 1,6-lactam	1.26	440599	C02837	129.1025
L-Methionine	1.88	6137	C00073	150.0585
L-Methionine S-oxide_1	0.84	158980	C02989	166.0534
L-Methionine S-oxide_2	1.50	158980	C02989	166.0534
L-Octanoylcarnitine	10.66	11953814	C02838	288.2170
Lophocerine	9.91	442313	C09571	250.1801
Lophophorine	7.56	28654	C09573	236.1281
L-Phenylalanine	6.42	6140	C00079	166.0864
L-Pipecolate_1	2.80	439227	C00408	130.0867
L-Pipecolate_2	6.74	439227	C00408	130.0865
L-Pipecolate_3	1.02	439227	C00408	130.0866
L-Pipecolate_4	7.38	439227	C00408	130.0865
L-PIPECOLIC ACID	1.41	439227		130.0865
L-PROLINE	0.92	145742		116.0711
L-Rhamnose	0.89	25310	C00507	165.0758
L-SERINE	0.78	5951		106.0504
L-THREONINE	0.78	6288		120.0658
L-Tryptophan_1	7.75	6305	C00078	205.0974
L-Tryptophan_2	9.27	6305	C00078	205.0974
L-Tyrosine_1	3.62	6057	C00082	182.0813
L-Tyrosine_2	7.20	6057	C00082	182.0813
L-Tyrosine_3	7.64	6057	C00082	182.0813
L-Tyrosine methyl ester	7.38	70652	C03404	196.0969
Lycodine	0.90	5462443	C09876	243.1832
Maculosin	7.79	119404	C10605	261.1235
Maleamate	1.10	5280451	C01596	116.0347
Mandelonitrile_1	8.87	10758	C00561	134.0602
Mandelonitrile_2	8.29	10758	C00561	134.0602
Mannitol_1	7.20	6251	C00392	183.0846
Mannitol_2	0.79	6251	C00392	183.0866
Mannopine	11.28	121864	C16692	311.1465
MANNOSE	0.78	18950		203.0526
Meloxicam	12.33	54677470	C08169	352.0420
Metaxalone	9.30	15459	C07934	222.1119
Metformin	1.14	4091	C07151	130.1090
Methaphenilene	7.45	10306	C11113	261.1445
Methyl 2-diazoacetamidohexonate_1	7.81	439447	C01223	215.1253
Methyl 2-diazoacetamidohexonate_2	9.95	439447	C01223	215.1279
Methyl 2-diazoacetamidohexonate_3	9.22	439447	C01223	215.1279
Methyl acetyl ricinoleate	15.41	5282107	C12280	355.2847
METHYL INDOLE-3-ACETATE	10.69	74706		190.0863
Methyleugenol_1	12.74	7127	C10454	179.1067
Methyleugenol_2	13.23	7127	C10454	179.1068
Methyleugenol_3	10.60	7127	C10454	179.1067
Methyleugenol_4	9.73	7127	C10454	179.1067
Methylguanidine	0.92	10111	C02294	74.0721
Methylimidazoleacetic acid_1	1.19	75810	C05828	141.0661
Methylimidazoleacetic acid_2	6.94	75810	C05828	141.0660
Methylimidazoleacetic acid_3	1.69	75810	C05828	141.0661
Metipranolol	8.14	31477	C07915	310.2013
Monodehydroascorbate	1.31	NOT Found in Database	C01041	176.0299
Montanin A	14.83	442061	C09136	313.1434
Morphine	12.67	5288826	C01516	286.1437
Murrayanine	9.79	96942	C09228	226.0872
Myxalamid A	11.42	6440913	C12158	416.3165
N-(2-Methoxyphenyl)-N'-(2-naphtyl)urea	3.88	443080	C11163	293.1273
N-(6-Aminohexanoyl)-6-aminohexanoate	8.20	5245705	C01255	245.1860
N-(Acetyloxy)benzenamine_1	6.43	153367	C02709	152.0708
N-(Acetyloxy)benzenamine_2	7.06	153367	C02709	152.0707
N(PAI)-METHYL-L-HISTIDINE	0.78	64969		170.0925
N,N'-Diacetylhydrazine	0.85	72884	C16622	117.0665
N,N-Dimethylhistidine	3.08	440274	C04259	184.1082
N1-Acetylspermidine	0.96	496	C00612	188.1758
N1-Methyl-2-pyridone-5-carboxamide	5.22	69698	C05842	153.0660
N2-Acetyl-L-aminoadipate	4.06	443992	C12986	204.0850
N5-Phenyl-L-glutamine_1	7.58	86289563	C20843	223.1078
N5-Phenyl-L-glutamine_2	6.32	86289563	C20843	223.1076
N6-(delta2-Isopentenyl)-adenine	5.31	92180	C04083	204.1231
N6-Acetyl-N6-hydroxy-L-lysine	1.33	128888	C03955	205.1183
N6-Methyl-L-lysine	0.76	164795	C02728	161.1285
N-Acetoxy-4-aminobiphenyl	12.15	189661	C03621	228.1013
N-ACETYL-D-GALACTOSAMINE	0.82	84265		244.0790
N-Acetyl-D-tryptophan	9.32	439917	C03137	247.1077
N-ACETYLGLYCINE	1.29	10972		140.0320
N-Acetylimidazole_1	0.89	17174	C02560	111.0558
N-Acetylimidazole_2	6.34	17174	C02560	111.0557
N-ACETYL-L-ALANINE	2.29	88064		154.0475
N-Acetyl-L-citrulline	4.92	656979	C15532	218.1136
N-Acetyl-L-leucine_1	8.24	70912	C02710	174.1113
N-Acetyl-L-leucine_2	8.87	70912	C02710	174.1126
N-Acetyl-L-leucine_3	1.25	70912	C02710	174.1126
N-Acetyl-L-leucine_4	2.25	70912	C02710	174.1127
N-Acetyl-L-leucine_5	3.30	70912	C02710	174.1126
N-Acetyl-L-phenylalanine	8.90	74839	C03519	208.0970
N-Acetylmethionine	1.74	448580	C02712	192.0688
N-Acetylornithine_1	1.10	439232	C00437	175.1078
N-Acetylornithine_2	1.96	439232	C00437	175.1079
N-Acetylornithine_3	6.95	439232	C00437	175.1078
N-Acetylornithine_4	2.95	439232	C00437	175.1078
N-ACETYLPUTRESCINE	1.21	122356		131.1180
N-Acetylputrescine	0.77	122356	C02714	131.1181
Nalidixic acid_1	6.89	4421	C05079	233.0922
Nalidixic acid_2	9.27	4421	C05079	233.0922
Nalidixic acid_3	4.14	4421	C05079	233.0921
Nalidixic acid_4	2.67	4421	C05079	233.0921
Nalidixic acid_5	3.30	4421	C05079	233.0921
N-Amidino-L-glutamate	1.95	135313	C03140	190.0822
N-Cyclohexylformamide_1	8.80	13017	C11519	128.1072
N-Cyclohexylformamide_2	8.38	13017	C11519	128.1072
N-Cyclohexylformamide_3	3.81	13017	C11519	128.1073
N-Cyclopropylammeline	12.08	6321196	C14148	168.0888
Nebularine	4.07	68368	C01736	253.0912
NEPSILON,NEPSILON,NEPSILON-TRIMETHYLLYSINE	0.77	440120		189.1598
N-Ethylglycocyamine	7.75	439826	C02852	208.1161
N-Ethylmaleimide	1.21	4362	C02441	126.0551
Netilmicin	8.07	441306	C07657	476.3069
N-Formimino-L-glutamate	1.18	439233	C00439	175.0715
N-Formyl-4-amino-5-aminomethyl-2-methylpyrimidine	1.81	597195	C19872	167.0928
N-FORMYLGLYCINE	1.06	75606		104.0348
N-Formylmethionine	1.18	439750	C03145	178.0533
N-Heptanoylhomoserine lactone	7.27	443437	C11844	214.1438
N-Hydroxy-L-valine	1.59	22859863	C20313	134.0814
NICOTINAMIDE	1.73	936		123.0556
Nicotinamide	2.95	936	C00153	123.0556
NICOTINATE	1.41	938		124.0396
Nicotyrine	7.75	10249	C10161	159.0918
N-Isopropylammelide_1	8.61	441083	C06553	171.0887
N-Isopropylammelide_2	9.23	441083	C06553	171.0887
N-Isopropylammelide_3	8.23	441083	C06553	171.0888
Nitrofurazone_1	3.43	5447130	C08042	199.0463
Nitrofurazone_2	4.27	5447130	C08042	199.0463
N-Methyl-2-pyrrolidinone_1	5.17	13387	C11118	100.0763
N-Methyl-2-pyrrolidinone_2	6.90	13387	C11118	100.0763
N-Methyl-2-pyrrolidinone_3	2.22	13387	C11118	100.0763
N-Methyl-2-pyrrolidinone_4	6.43	13387	C11118	100.0762
N-Methyl-2-pyrrolidinone_5	7.34	13387	C11118	100.0764
N-METHYL-D-ASPARTIC ACID	0.82	22880		148.0605
N-Methyl-N'-nitro-N-nitrosoguanidine	3.63	9562060	C14592	148.0477
N-Methylpelletierine_1	6.64	86786	C06184	156.1385
N-Methylpelletierine_2	8.35	86786	C06184	156.1385
N-Nitrosoguvacoline_1	3.58	62103	C19482	171.0766
N-Nitrosoguvacoline_2	1.31	62103	C19482	171.0765
N-Nitrosopiperidine_1	6.66	7526	C19284	115.0870
N-Nitrosopiperidine_2	0.89	7526	C19284	115.0872
Nona-2,6-dienal	11.27	643731	C08499	139.1119
Nonane-4,6-dione	11.31	26454	C02445	157.1224
N-Phosphohypotaurocyamine	1.95	16019959	C03624	232.0129
N-Trimethyl-2-aminoethylphosphonate_1	8.34	1014	C06459	169.0860
N-Trimethyl-2-aminoethylphosphonate_2	8.94	1014	C06459	169.0860
Nuatigenin	13.26	440453	C04715	431.3158
O-Butanoylcarnitine_1	7.61	439829	C02862	232.1543
O-Butanoylcarnitine_2	6.77	439829	C02862	232.1544
Octanoic acid	11.72	379	C06423	145.1224
Octylamine	8.44	8143	C01740	130.1592
O-Decanoyl-L-carnitine	11.98	11953821	C03299	316.2481
Oleoylethanolamide	15.41	5283454	C20792	326.3055
O-Propanoylcarnitine_1	6.93	107738	C03017	218.1388
O-Propanoylcarnitine_2	3.19	107738	C03017	218.1388
O-Propanoylcarnitine_3	3.55	107738	C03017	218.1388
O-Propanoylcarnitine_4	9.20	107738	C03017	218.1387
Orcinol	7.84	10436	C00727	125.0600
Ornaline	10.00	4474580	C01683	263.1262
Otonecine_1	1.70	5281740	C10356	186.1126
Otonecine_2	3.87	5281740	C10356	186.1126
O-Ureido-L-serine	9.34	71464513	C20639	164.0652
Oxidized Latia luciferin	14.47	519382	C03527	195.1745
Pantothenate_1	8.22	6613	C00864	220.1160
Pantothenate_2	7.75	6613	C00864	220.1160
Paramethadione_1	7.37	8280	C07411	158.0813
Paramethadione_2	3.92	8280	C07411	158.0814
Paramethadione_3	6.56	8280	C07411	158.0814
Paramethadione_4	1.50	8280	C07411	158.0814
p-Benzoquinone_1	0.79	4650	C00472	109.0289
p-Benzoquinone_2	2.11	4650	C00472	109.0289
p-Benzosemiquinone	2.14	46173720	C02389	110.0354
p-Cumate	16.57	3417835	C06578	165.0912
Peganine	6.96	72610	C10733	189.1024
Penitrem D_1	13.20	76308902	C20596	568.3398
Penitrem D_2	12.46	76308902	C20596	568.3402
Pentachloroethane	0.75	6419	C19496	200.8592
Pentanamide	1.44	12298	C01842	102.0919
Phenacetin	6.52	4754	C07591	180.1020
Phendimetrazine_1	7.70	12460	C07904	192.1383
Phendimetrazine_2	11.20	12460	C07904	192.1384
Phenmetrazine	7.41	4762	C07432	178.1228
Phenyl acetate	7.80	31229	C00548	137.0598
Phenylacetylglutamine	8.07	92258	C04148	265.1183
Phenylhydrazine	2.12	7516	C02304	109.0765
Phenylpyruvate	3.62	997	C00166	165.0547
Phosphoagmatine	7.58	72734288	C02726	211.0940
Phosphodimethylethanolamine	13.15	151438	C13482	170.0560
Phthalate	13.66	181977	C01606	167.0340
Phytuberin_1	12.89	442387	C09709	295.1905
Phytuberin_2	13.27	442387	C09709	295.1905
Piperidine_1	2.71	8082	C01746	86.0971
Piperidine_2	2.35	8082	C01746	86.0971
Piperidione_1	8.34	6465	C17730	170.1176
Piperidione_2	7.13	6465	C17730	170.1176
Piperidione_3	7.79	6465	C17730	170.1177
Piperidione_4	10.08	6465	C17730	170.1177
Pirbuterol	6.47	4845	C07807	241.1545
Pirimicarb	7.18	31645	C11079	239.1488
Porphobilinogen	6.88	1021	C00931	227.1026
Precocene II	14.32	12565	C09018	221.1173
Prekinamycin	13.23	443804	C12393	319.0733
Prenol	3.81	11173	C01390	87.0812
Prenyl caffeate	10.07	5281790	C10487	249.1098
Propanoate	0.84	104745	C00163	75.0448
Propyl cinnamate	9.95	5270647	C06360	191.1069
Protoanemonin	0.79	66948	C07090	97.0290
Pseudopelletierine	7.94	11096	C10865	154.1228
Pulcherriminic acid	0.86	3083664	C20515	257.1471
p-Xylene	8.76	7809	C06756	107.0861
Pyridostigmine	2.15	4991	C07410	182.1038
Pyridoxal	10.46	1050	C00250	168.0656
Pyridoxamine_1	6.07	1052	C00534	169.0972
Pyridoxamine_2	6.49	1052	C00534	169.0972
PYRIDOXINE	3.08	1054		170.0813
QUINATE_1	0.89	6508		215.0526
QUINATE_2	0.85	6508		193.0708
Rehmaionoside C	11.56	11740990	C17452	389.2172
Retronecine	7.92	10198	C06177	156.1020
Ripazepam	12.27	33474	C19518	269.1385
Rishitin	16.45	108064	C09715	223.1694
Saccharin sodium anhydrous_1	1.30	656582	C12284	205.9873
Saccharin sodium anhydrous_2	2.33	656582	C12284	205.9872
S-Allyl-L-cysteine_1	3.09	9793905	C16759	162.0583
S-Allyl-L-cysteine_2	1.02	9793905	C16759	162.0580
S-Allyl-L-cysteine_3	3.45	9793905	C16759	162.0583
S-Allyl-L-cysteine_4	6.69	9793905	C16759	162.0584
S-Allyl-L-cysteine_5	2.48	9793905	C16759	162.0583
SARCOSINE	0.75	1088		112.0373
Sebacic acid_1	0.78	5192	C08277	203.1292
Sebacic acid_2	9.97	5192	C08277	203.1279
Sebacic acid_3	10.77	5192	C08277	203.1280
Serotonin	1.98	5202	C00780	177.1022
Shikimate	4.30	8742	C00493	175.0604
Sinapyl alcohol	10.90	5280507	C02325	211.0966
Sodium ortho-phenylphenate	8.08	23675735	C19298	193.0632
Sodium sulfate	0.89	24436	C13199	142.9387
Sphingosine_1	15.23	5280335	C00319	300.2897
Sphingosine_2	14.09	5280335	C00319	300.2898
Sphingosine 1-phosphate	12.52	5283560	C06124	380.2565
Stovaine_1	8.27	10767	C14169	236.1645
Stovaine_2	9.36	10767	C14169	236.1644
Styrene	8.70	7501	C07083	105.0704
Suberic acid_1	8.68	10457	C08278	175.0965
Suberic acid_2	6.86	10457	C08278	175.0965
Suberic acid_3	9.30	10457	C08278	175.0966
Succimer	2.14	9354	C07598	182.9771
Succinate_1	0.84	160419	C00042	119.0342
Succinate_2	1.28	160419	C00042	119.0341
Succinic anhydride	0.79	7922	C19524	101.0238
Succinimide_1	1.81	11439	C07273	100.0399
Succinimide_2	1.29	11439	C07273	100.0399
SUCROSE	0.90	5988		365.1054
Sulcatone_1	8.59	9862	C07287	127.1120
Sulcatone_2	9.13	9862	C07287	127.1120
Sulfacetamide sodium anhydrous	1.30	4022878	C08051	119.0181
Sulfamethazine	11.54	5327	C19530	279.0935
Tabtoxinine-beta-lactam_1	2.28	NOT Found in Database	C20918	189.0870
Tabtoxinine-beta-lactam_2	1.42	NOT Found in Database	C20918	189.0871
Tabtoxinine-beta-lactam_3	3.13	NOT Found in Database	C20918	189.0870
TAURINE	0.77	1123		126.0222
Taurocyamine	6.24	68340	C01959	168.0454
Taxa-4(20),11(12)-dien-5alpha-yl acetate_1	16.27	443486	C11896	331.2633
Taxa-4(20),11(12)-dien-5alpha-yl acetate_2	16.62	443486	C11896	331.2633
Terpendole E	13.79	10094631	C20536	438.2984
Terpendole G	12.81	10411534	C20586	452.2778
TES	3.84	81831	C05353	230.0702
Thiomorpholine 3-carboxylate_1	0.81	440159	C03901	148.0425
Thiomorpholine 3-carboxylate_2	1.48	440159	C03901	148.0427
Thiomorpholine 3-carboxylate_3	3.56	440159	C03901	148.0427
Thymine	6.22	1135	C00178	127.0504
THYMINE	3.49	1135		127.0505
Tolmetin sodium	0.81	23665411	C02328	280.0920
Toluene-cis-dihydrodiol_1	7.57	1141	C04592	127.0756
Toluene-cis-dihydrodiol_2	4.16	1141	C04592	127.0756
Toluene-cis-dihydrodiol_3	6.98	1141	C04592	127.0756
Tolylacetonitrile_1	7.75	NOT Found in Database	C02596	132.0809
Tolylacetonitrile_2	7.75	NOT Found in Database	C02596	132.0795
Tos-Lys-CH2Cl	10.88	73094	C00896	333.1041
trans-Cinnamate_1	6.42	444539	C00423	149.0599
trans-Cinnamate_2	13.69	444539	C00423	149.0598
TRANS-CINNAMATE	9.89	444539		149.0598
Transfluthrin	1.24	656612	C13410	371.0199
Traumatic acid	10.61	5283028	C16308	229.1435
Tremetone	14.32	78673	C08992	203.1068
Trimethylamine N-oxide	0.99	1145	C01104	76.0765
Tris(butoxyethyl)phosphate	13.71	6540	C14446	399.2510
Tropinone	7.02	79038	C00783	140.1071
Trp-P-1	9.21	5284474	C19306	212.1182
Tussilagine_1	6.20	185071	C10411	200.1282
Tussilagine_2	3.62	185071	C10411	200.1283
Tussilagine_3	4.46	185071	C10411	200.1282
Tyramine_1	7.11	5610	C00483	138.0915
Tyramine_2	7.95	5610	C00483	138.0914
Uracil	3.01	1174	C00106	113.0351
URACIL	1.51	1174		113.0350
URATE	1.96	1175		169.0356
Ureidoacrylate	1.58	1751484	C20254	131.0454
Uridine_1	3.01	6029	C00299	245.0768
Uridine_2	1.58	6029	C00299	245.0768
Urocanate_1	3.17	736715	C00785	139.0504
Urocanate_2	1.72	736715	C00785	139.0505
Vanillyl alcohol	7.81	62348	C06317	155.0704
Warfarin	9.34	54678486	C01541	155.0598
WR 1065	0.97	104807	C07651	135.0958
Xanthan	13.32	7107	C01464	183.0806
Xanthine	2.64	1188	C00385	153.0409
XYLITOL	0.80	6912		175.0577
ZAPA	0.93	5282249	C13695	147.0224
Zeatin	6.75	449093	C00371	220.1172
Zingerone	13.52	31211	C17497	195.1017
